 C	14.93569319 9.02898618 3.40000000
 C	13.17853979 -3.14492968 3.40000000
 C	13.52997539 -0.71011242 3.40000000
 C	11.42141099 -15.31867511 3.40000000
 C	15.28710419 11.46363300 3.40000000
 C	11.06997539 -17.75349237 3.40000000
 C	15.63853979 13.89845026 3.40000000
 C	10.71856439 -20.18813920 3.40000000
 C	15.98996719 16.33321071 3.40000000
 C	10.36712879 -22.62295646 3.40000000
 C	16.34138639 18.76791435 3.40000000
 C	10.01569319 -25.05777371 3.40000000
 C	16.69282199 21.20273161 3.40000000
 C	9.66427399 -27.49247735 3.40000000
 C	17.04425759 23.63754887 3.40000000
 C	9.31284659 -29.92723780 3.40000000
 C	17.39566859 26.07219569 3.40000000
 C	8.96141099 -32.36205506 3.40000000
 C	17.74710419 28.50701295 3.40000000
 C	8.60999999 -34.79670188 3.40000000
 C	18.09853159 30.94177340 3.40000000
 C	8.25856439 -37.23151914 3.40000000
 C	18.44995079 33.37647703 3.40000000
 C	12.82712879 -5.57957651 3.40000000
 C	13.88140279 1.72464802 3.40000000
 C	12.47569319 -8.01439377 3.40000000
 C	14.23282199 4.15935166 3.40000000
 C	12.12425759 -10.44921103 3.40000000
 C	14.58425759 6.59416892 3.40000000
 C	12.65138640 -1.82607034 3.40000000
 C	10.89425760 -13.99981576 3.40000000
 C	14.40851520 10.34767509 3.40000000
 C	10.54282200 -16.43463302 3.40000000
 C	14.75995080 12.78249235 3.40000000
 C	10.19138640 -18.86945028 3.40000000
 C	15.11138640 15.21730961 3.40000000
 C	9.83997540 -21.30409711 3.40000000
 C	15.46282200 17.65212687 3.40000000
 C	9.48853980 -23.73891437 3.40000000
 C	15.81423300 20.08677370 3.40000000
 C	9.13712880 -26.17356119 3.40000000
 C	16.16566860 22.52159095 3.40000000
 C	12.29995080 -4.26088759 3.40000000
 C	13.00282200 0.60874692 3.40000000
 C	8.78569320 -28.60837845 3.40000000
 C	16.51707960 24.95623778 3.40000000
 C	8.43425760 -31.04319571 3.40000000
 C	16.86851520 27.39105504 3.40000000
 C	8.08282200 -33.47801297 3.40000000
 C	17.21995080 29.82587230 3.40000000
 C	7.73141100 -35.91265979 3.40000000
 C	17.57138640 32.26068956 3.40000000
 C	17.92279740 34.69533638 3.40000000
 C	11.94853980 -6.69553442 3.40000000
 C	13.35425760 3.04356418 3.40000000
 C	11.59710420 -9.13035168 3.40000000
 C	13.70566860 5.47821101 3.40000000
 C	11.24569320 -11.56499850 3.40000000
 C	14.05710420 7.91302827 3.40000000
 C	11.24564400 -1.62316890 3.40000000
 C	9.48851520 -13.79691433 3.40000000
 C	13.00279740 10.55074696 3.40000000
 C	9.13707960 -16.23173158 3.40000000
 C	13.35420840 12.98539379 3.40000000
 C	8.78566860 -18.66637841 3.40000000
 C	13.70564400 15.42021105 3.40000000
 C	8.43423300 -21.10119567 3.40000000
 C	14.05707140 17.85497150 3.40000000
 C	8.08279740 -23.53601293 3.40000000
 C	14.40849060 20.28967513 3.40000000
 C	10.89423300 -4.05781572 3.40000000
 C	7.73137820 -25.97071656 3.40000000
 C	14.75992620 22.72449239 3.40000000
 C	11.59707960 0.81164836 3.40000000
 C	7.37995080 -28.40547701 3.40000000
 C	15.11136180 25.15930965 3.40000000
 C	7.02851520 -30.84029427 3.40000000
 C	15.46277280 27.59395648 3.40000000
 C	6.67710420 -33.27494110 3.40000000
 C	15.81420840 30.02877374 3.40000000
 C	6.32566860 -35.70975836 3.40000000
 C	16.16563580 32.46353418 3.40000000
 C	16.51705500 34.89823782 3.40000000
 C	10.54279740 -6.49263298 3.40000000
 C	11.94850700 3.24640881 3.40000000
 C	10.19136180 -8.92745024 3.40000000
 C	12.29992620 5.68111245 3.40000000
 C	9.83994260 -11.36215388 3.40000000
 C	12.65136180 8.11592971 3.40000000
 C	8.96136180 -12.47805498 3.40000000
 C	12.12420840 9.43478905 3.40000000
 C	10.36705500 -2.73912681 3.40000000
 C	10.71849060 -0.30430955 3.40000000
 C	8.60992620 -14.91287224 3.40000000
 C	12.47561940 11.86943588 3.40000000
 C	8.25849060 -17.34768950 3.40000000
 C	12.82705500 14.30425314 3.40000000
 C	7.90707960 -19.78233632 3.40000000
 C	13.17849060 16.73907040 3.40000000
 C	7.55564400 -22.21715358 3.40000000
 C	13.52992620 19.17388766 3.40000000
 C	7.20423300 -24.65180041 3.40000000
 C	13.88133720 21.60853448 3.40000000
 C	6.85279740 -27.08661766 3.40000000
 C	14.23277280 24.04335174 3.40000000
 C	6.50136180 -29.52143492 3.40000000
 C	14.58418380 26.47799857 3.40000000
 C	6.14992620 -31.95625218 3.40000000
 C	14.93561940 28.91281583 3.40000000
 C	5.79851520 -34.39089901 3.40000000
