 C	-1.01812129 -18.76082319 3.40000000
 C	-11.25994105 -18.74252222 3.40000000
 C	-16.38080983 -18.73351509 3.40000000
 C	-26.62262958 -18.71521413 3.40000000
 C	28.32892779 -18.47204983 3.40000000
 C	23.20810068 -18.46287562 3.40000000
 C	12.96623926 -18.44474174 3.40000000
 C	7.84541215 -18.43556752 3.40000000
 C	-2.39624208 -18.41721908 3.40000000
 C	-7.51713826 -18.40811638 3.40000000
 C	-17.75893061 -18.38991099 3.40000000
 C	-22.87975773 -18.38073677 3.40000000
 C	21.82997989 -18.11927152 3.40000000
 C	16.70915277 -18.11009730 3.40000000
 C	6.46745688 -18.09191595 3.40000000
 C	1.34646424 -18.08278920 3.40000000
 C	-8.89518999 -18.06444077 3.40000000
 C	-14.01605876 -18.05543363 3.40000000
 C	-24.25787852 -18.03713267 3.40000000
 C	-29.37870563 -18.02795845 3.40000000
 C	30.69367886 -17.79396838 3.40000000
 C	25.57285174 -17.78479416 3.40000000
 C	15.33099033 -17.76666028 3.40000000
 C	10.21016321 -17.75748606 3.40000000
 C	-0.03165655 -17.73918509 3.40000000
 C	-5.15249755 -17.73006657 3.40000000
 C	-15.39417955 -17.71182953 3.40000000
 C	-20.51506184 -17.70267114 3.40000000
 C	-30.75686808 -17.68452144 3.40000000
 C	24.19473095 -17.44119006 3.40000000
 C	19.07384866 -17.43203166 3.40000000
 C	8.83204242 -17.41388195 3.40000000
 C	3.71121531 -17.40470775 3.40000000
 C	-6.53043892 -17.38635931 3.40000000
 C	-11.65147322 -17.37739964 3.40000000
 C	-21.89312745 -17.35905122 3.40000000
 C	-27.01395457 -17.34987700 3.40000000
 C	33.05842992 -17.11588692 3.40000000
 C	27.93743728 -17.10676017 3.40000000
 C	17.69574139 -17.08857883 3.40000000
 C	12.57491428 -17.07940461 3.40000000
 C	2.33309452 -17.06110364 3.40000000
 C	-2.78774648 -17.05198511 3.40000000
 C	-13.02959401 -17.03379554 3.40000000
 C	-18.15042113 -17.02462132 3.40000000
 C	-28.39211701 -17.00643998 3.40000000
 C	26.55931649 -16.76315607 3.40000000
 C	21.43848938 -16.75398185 3.40000000
 C	11.19679349 -16.73580050 3.40000000
 C	6.07591120 -16.72664211 3.40000000
 C	-4.16585338 -16.70832532 3.40000000
 C	-9.28672216 -16.69931819 3.40000000
 C	-19.52837639 -16.68096976 3.40000000
 C	-24.64936903 -16.67184301 3.40000000
 C	35.42301546 -16.43785293 3.40000000
 C	30.30218835 -16.42867871 3.40000000
 C	20.06049246 -16.41049737 3.40000000
 C	14.93949981 -16.40137062 3.40000000
 C	4.69784558 -16.38302218 3.40000000
 C	-0.42299542 -16.37390366 3.40000000
 C	-10.66484295 -16.35571409 3.40000000
 C	-15.78567006 -16.34653987 3.40000000
 C	-26.02753148 -16.32840599 3.40000000
 C	28.92406756 -16.08507461 3.40000000
 C	23.80324044 -16.07590039 3.40000000
 C	13.56137902 -16.05776651 3.40000000
 C	8.44055191 -16.04859230 3.40000000
 C	-1.80110232 -16.03024386 3.40000000
 C	-6.92202627 -16.02125255 3.40000000
 C	-17.16379085 -16.00293577 3.40000000
 C	-22.28461796 -15.99376155 3.40000000
 C	32.66688423 -15.75061308 3.40000000
 C	22.42507800 -15.73246338 3.40000000
 C	17.30425088 -15.72328916 3.40000000
 C	7.06259665 -15.70494072 3.40000000
 C	1.94159012 -15.69586966 3.40000000
 C	-8.30009188 -15.67763263 3.40000000
 C	-13.42091899 -15.66845841 3.40000000
 C	-23.66278041 -15.65032453 3.40000000
 C	-28.78360753 -15.64115032 3.40000000
 C	31.28881862 -15.40699315 3.40000000
 C	26.16799151 -15.39781894 3.40000000
 C	15.92613009 -15.37968505 3.40000000
 C	10.80530298 -15.37051084 3.40000000
 C	0.56348322 -15.35220987 3.40000000
 C	-4.55738556 -15.34320274 3.40000000
 C	-14.79903978 -15.32485431 3.40000000
 C	-19.91992207 -15.31569591 3.40000000
 C	-30.16172832 -15.29754621 3.40000000
 C	35.03152495 -15.07256326 3.40000000
 C	24.78982906 -15.05438192 3.40000000
 C	19.66894677 -15.04522352 3.40000000
 C	9.42718219 -15.02690673 3.40000000
 C	4.30634119 -15.01778821 3.40000000
 C	-5.93534081 -14.99955117 3.40000000
 C	-11.05633346 -14.99042442 3.40000000
 C	-21.29802934 -14.97224308 3.40000000
 C	-26.41885646 -14.96306886 3.40000000
 C	33.65356969 -14.72891170 3.40000000
 C	28.53257705 -14.71978494 3.40000000
 C	18.29088116 -14.70160359 3.40000000
 C	13.17005404 -14.69242938 3.40000000
 C	2.92823428 -14.67412841 3.40000000
 C	-2.19263449 -14.66512128 3.40000000
 C	-12.43445425 -14.64682032 3.40000000
 C	-17.55528136 -14.63764610 3.40000000
 C	-27.79697725 -14.61946475 3.40000000
 C	37.39627601 -14.39448181 3.40000000
 C	27.15441460 -14.37634793 3.40000000
 C	22.03358748 -14.36717371 3.40000000
 C	11.79193325 -14.34882527 3.40000000
 C	6.67103708 -14.33972257 3.40000000
 C	-3.57075528 -14.32151718 3.40000000
 C	-8.69158239 -14.31234296 3.40000000
 C	-18.93327828 -14.29416162 3.40000000
 C	-24.05427092 -14.28503487 3.40000000
 C	36.01815523 -14.05087770 3.40000000
 C	30.89732811 -14.04170349 3.40000000
 C	20.65563222 -14.02352214 3.40000000
 C	15.53463958 -14.01439539 3.40000000
 C	5.29298535 -13.99604696 3.40000000
 C	0.17211658 -13.98703982 3.40000000
 C	-10.06970318 -13.96873886 3.40000000
 C	-15.19053029 -13.95956464 3.40000000
 C	-25.43239171 -13.94143076 3.40000000
 C	29.51916566 -13.69826647 3.40000000
 C	24.39833855 -13.68909225 3.40000000
 C	14.15651879 -13.67079128 3.40000000
 C	9.03567779 -13.66167276 3.40000000
 C	-1.20600421 -13.64343572 3.40000000
 C	-6.32688650 -13.63427733 3.40000000
 C	-16.56869274 -13.61612763 3.40000000
 C	-21.68951986 -13.60695341 3.40000000
 C	33.26202400 -13.36363785 3.40000000
 C	23.02021776 -13.34548814 3.40000000
 C	17.89939065 -13.33631394 3.40000000
 C	7.65773642 -13.31796550 3.40000000
 C	2.53670211 -13.30900583 3.40000000
 C	-7.70495211 -13.29065741 3.40000000
 C	-12.82577923 -13.28148319 3.40000000
 C	-23.06764065 -13.26334930 3.40000000
 C	-28.18846776 -13.25417509 3.40000000
 C	31.88391673 -13.02018502 3.40000000
 C	26.76308962 -13.01101080 3.40000000
 C	16.52126986 -12.99270983 3.40000000
 C	11.40042886 -12.98359130 3.40000000
 C	1.15858133 -12.96540173 3.40000000
 C	-3.96224579 -12.95622751 3.40000000
 C	-14.20394168 -12.93804617 3.40000000
 C	-19.32482397 -12.92888778 3.40000000
 C	-29.56658855 -12.91057098 3.40000000
 C	35.62666471 -12.68558804 3.40000000
 C	25.38496883 -12.66740669 3.40000000
 C	20.26408654 -12.65824830 3.40000000
 C	10.02232195 -12.63993151 3.40000000
 C	4.90145318 -12.63092437 3.40000000
 C	-5.34020105 -12.61257595 3.40000000
 C	-10.46119369 -12.60344920 3.40000000
 C	-20.70288958 -12.58526784 3.40000000
 C	-25.82371669 -12.57609364 3.40000000
 C	34.24866780 -12.34210356 3.40000000
 C	29.12767515 -12.33297681 3.40000000
 C	18.88602092 -12.31462837 3.40000000
 C	13.76517992 -12.30550985 3.40000000
 C	3.52333239 -12.28732027 3.40000000
 C	-1.59749472 -12.27814606 3.40000000
 C	-11.83935614 -12.26001218 3.40000000
 C	-16.96018325 -12.25083796 3.40000000
 C	-27.20183748 -12.23248953 3.40000000
 C	37.99141578 -12.00750658 3.40000000
 C	27.74955436 -11.98937270 3.40000000
 C	22.62872725 -11.98019849 3.40000000
 C	12.38707302 -11.96185005 3.40000000
 C	7.26614907 -11.95285874 3.40000000
 C	-2.97561551 -11.93454196 3.40000000
 C	-8.09644263 -11.92536774 3.40000000
 C	-18.33813851 -11.90718639 3.40000000
 C	-23.45913116 -11.89805964 3.40000000
 C	36.61325333 -11.66406957 3.40000000
 C	31.49242622 -11.65489535 3.40000000
 C	21.25077199 -11.63654691 3.40000000
 C	16.12976546 -11.62747585 3.40000000
 C	5.88808346 -11.60923882 3.40000000
 C	0.76725634 -11.60006460 3.40000000
 C	-9.47460507 -11.58193072 3.40000000
 C	-14.59543219 -11.57275651 3.40000000
 C	-24.83725195 -11.55445553 3.40000000
 C	30.11430543 -11.31129124 3.40000000
 C	24.99347832 -11.30211703 3.40000000
 C	14.75165856 -11.28381606 3.40000000
 C	9.63078978 -11.27480893 3.40000000
 C	-0.61086444 -11.25646050 3.40000000
 C	-5.73174674 -11.24730210 3.40000000
 C	-15.97355298 -11.22915240 3.40000000
 C	-21.09438009 -11.21997819 3.40000000
 C	33.85712211 -10.97682971 3.40000000
 C	23.61535753 -10.95851292 3.40000000
 C	18.49451652 -10.94939440 3.40000000
 C	8.25283452 -10.93115736 3.40000000
 C	3.13184188 -10.92203061 3.40000000
 C	-7.10985401 -10.90384927 3.40000000
 C	-12.23068112 -10.89467505 3.40000000
 C	-22.47250088 -10.87637408 3.40000000
 C	-27.59334188 -10.86725555 3.40000000
 C	32.47905649 -10.63320978 3.40000000
 C	27.35822938 -10.62403557 3.40000000
 C	17.11640962 -10.60573460 3.40000000
 C	11.99554085 -10.59672747 3.40000000
 C	1.75372109 -10.57842651 3.40000000
 C	-3.36710602 -10.56925229 3.40000000
 C	-13.60880191 -10.55107094 3.40000000
 C	-18.72968420 -10.54191255 3.40000000
 C	-28.97144878 -10.52359576 3.40000000
 C	36.22176282 -10.29877990 3.40000000
 C	25.98010859 -10.28043146 3.40000000
 C	20.85921241 -10.27132876 3.40000000
 C	10.61742006 -10.25312337 3.40000000
 C	5.49659295 -10.24394915 3.40000000
 C	-4.74510294 -10.22576781 3.40000000
 C	-9.86609558 -10.21664106 3.40000000
 C	-20.10774981 -10.19829262 3.40000000
 C	-25.22859082 -10.18917410 3.40000000
 C	34.84380756 -9.95512833 3.40000000
 C	29.72281492 -9.94600158 3.40000000
 C	19.48116069 -9.92765315 3.40000000
 C	14.36029191 -9.91864601 3.40000000
 C	4.11847216 -9.90034505 3.40000000
 C	-1.00235496 -9.89117083 3.40000000
 C	-11.24421637 -9.87303695 3.40000000
 C	-16.36504349 -9.86386274 3.40000000
 C	-26.60669772 -9.84551430 3.40000000
 C	38.58651389 -9.62069844 3.40000000
 C	28.34469413 -9.60239747 3.40000000
 C	23.22385313 -9.59327895 3.40000000
 C	12.98217113 -9.57504191 3.40000000
 C	7.86128884 -9.56588352 3.40000000
 C	-2.38051740 -9.54773382 3.40000000
 C	-7.50134452 -9.53855960 3.40000000
 C	-17.74299875 -9.52021116 3.40000000
 C	-22.86400528 -9.51114011 3.40000000
 C	37.20839310 -9.27709433 3.40000000
 C	32.08756598 -9.26792013 3.40000000
 C	21.84591175 -9.24957169 3.40000000
 C	16.72487745 -9.24061202 3.40000000
 C	6.48322322 -9.22226359 3.40000000
 C	1.36239611 -9.21308938 3.40000000
 C	-8.87946531 -9.19495549 3.40000000
 C	-14.00029242 -9.18578128 3.40000000
 C	-24.24211218 -9.16748031 3.40000000
 C	30.70944519 -8.92431602 3.40000000
 C	25.58860419 -8.91519749 3.40000000
 C	15.34675666 -8.89700792 3.40000000
 C	10.22592955 -8.88783370 3.40000000
 C	-0.01576634 -8.86965236 3.40000000
 C	-5.13664863 -8.86049397 3.40000000
 C	-15.37841321 -8.84217717 3.40000000
 C	-20.49925421 -8.83305865 3.40000000
 C	34.45226187 -8.58985449 3.40000000
 C	24.21049729 -8.57153770 3.40000000
 C	19.08962852 -8.56253056 3.40000000
 C	8.84797429 -8.54418214 3.40000000
 C	3.72698165 -8.53505538 3.40000000
 C	-6.51471424 -8.51687403 3.40000000
 C	-11.63554136 -8.50769983 3.40000000
 C	-21.87736111 -8.48939885 3.40000000
 C	-26.99822989 -8.48039172 3.40000000
 C	33.07419626 -8.24623456 3.40000000
 C	27.95335526 -8.23711604 3.40000000
 C	17.71150773 -8.21892646 3.40000000
 C	12.59068062 -8.20975225 3.40000000
 C	2.34881920 -8.19161837 3.40000000
 C	-2.77200792 -8.18244415 3.40000000
 C	-13.01366215 -8.16409572 3.40000000
 C	-18.13455832 -8.15499301 3.40000000
 C	-28.37635068 -8.13678762 3.40000000
 C	36.81690259 -7.91180468 3.40000000
 C	26.57524836 -7.89345624 3.40000000
 C	21.45432441 -7.88446493 3.40000000
 C	11.21255983 -7.86614815 3.40000000
 C	6.09173271 -7.85697393 3.40000000
 C	-4.14996318 -7.83879258 3.40000000
 C	-9.27095582 -7.82966583 3.40000000
 C	-19.51261005 -7.81131740 3.40000000
 C	-24.63347882 -7.80231026 3.40000000
 C	35.43894733 -7.56815310 3.40000000
 C	30.31794080 -7.55908204 3.40000000
 C	20.07625880 -7.54084501 3.40000000
